domain,time
Ancient Watchtower,0:24
Blazing Ruins,0:34
Cecilia Garden,0:39
City of Gold,1:26
Clear Pool and Mountain Cavern,0:47
Court of Flowing Sand,1:13
Denouement of Sin,0:55
Derelict Masonry Dock,0:59
Domain of Guyun,0:53
Echoes of the Deep Tides,1:04
Faded Theater,1:14
Forsaken Rift,1:19 
Hidden Palace of Lianshan Formula,0:43
Hidden Palace of Zhou Formula,0:48  
Midsummer Courtyard,0:57
Molten Iron Fortress,0:46
Momiji-Dyed Court,1:07
Pale Forgotten Glory,1:07
Ridge Watch,1:09
Sanctum of Rainbow and Spirits,0:33
Slumbering Court,0:32
Spire of Solitary Enlightenment,0:24
Steeple of Ignorance,0:43
Taishan Mansion,0:30
The Lost Valley,0:42
Tower of Abject Pride,0:29
Valley of Remembrance,0:41
Violet Court,0:56
Waterfall Wen,1:19
